Episode,Consigli_Accettati
1,0
2,0
3,1
4,2
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,2
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,2
22,0
23,1
24,2
25,0
26,0
27,0
28,0
29,2
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,2
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,2
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,2
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,2
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,2
109,0
110,0
111,0
112,0
113,2
114,1
115,0
116,0
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,2
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,2
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,0
