Episode,Success_Rate
1,0.0
2,0.0
3,0.3333333333333333
4,0.25
5,0.2
6,0.16666666666666666
7,0.14285714285714285
8,0.25
9,0.2222222222222222
10,0.3
11,0.2727272727272727
12,0.25
13,0.23076923076923078
14,0.21428571428571427
15,0.2
16,0.1875
17,0.17647058823529413
18,0.16666666666666666
19,0.15789473684210525
20,0.15
21,0.14285714285714285
22,0.13636363636363635
23,0.17391304347826086
24,0.20833333333333334
25,0.2
26,0.19230769230769232
27,0.18518518518518517
28,0.17857142857142858
29,0.1724137931034483
30,0.16666666666666666
31,0.16129032258064516
32,0.15625
33,0.18181818181818182
34,0.17647058823529413
35,0.2
36,0.19444444444444445
37,0.1891891891891892
38,0.18421052631578946
39,0.1794871794871795
40,0.175
41,0.17073170731707318
42,0.16666666666666666
43,0.16279069767441862
44,0.1590909090909091
45,0.15555555555555556
46,0.15217391304347827
47,0.14893617021276595
48,0.14583333333333334
49,0.14285714285714285
50,0.14
51,0.13725490196078433
52,0.1346153846153846
53,0.1320754716981132
54,0.12962962962962962
55,0.12727272727272726
56,0.125
57,0.14035087719298245
58,0.15517241379310345
59,0.15254237288135594
60,0.15
61,0.14754098360655737
62,0.14516129032258066
63,0.14285714285714285
64,0.140625
65,0.13846153846153847
66,0.13636363636363635
67,0.13432835820895522
68,0.1323529411764706
69,0.13043478260869565
70,0.12857142857142856
71,0.1267605633802817
72,0.125
73,0.1232876712328767
74,0.12162162162162163
75,0.12
76,0.11842105263157894
77,0.11688311688311688
78,0.11538461538461539
79,0.11392405063291139
80,0.125
81,0.12345679012345678
82,0.12195121951219512
83,0.12048192771084337
84,0.11904761904761904
85,0.11764705882352941
86,0.11627906976744186
87,0.11494252873563218
88,0.11363636363636363
89,0.12359550561797752
90,0.12222222222222222
91,0.12087912087912088
92,0.13043478260869565
93,0.12903225806451613
94,0.13829787234042554
95,0.1368421052631579
96,0.13541666666666666
97,0.13402061855670103
98,0.1326530612244898
99,0.13131313131313133
100,0.13
101,0.12871287128712872
